State Category,Subcategory,Group Category,Statutory Title,Statute Number,Authority Type,Alternate Citations,Record Type,Offense Description,Consequence Category,Lifecycle Stage,Offense Classification,DOC Seriousness Level,Internal Screening Tier,Violent Offense,Act 659 / State Equiv,Max Jail/Prison Time,Max Financial Fine,PAA Release Tier,Release Code,Release Parole Tier,Jail Only,Prison Eligible,Probation Eligible,SIS/Suspended Sentence,Parole Eligible,Mandatory Minimum,Earned Time Credits,Good Time Eligible,Electronic Monitoring,Work Release Eligible,Sealing Eligible,Sealing Waiting Period,Expungement Eligible,Pardon Eligible,Firearm Rights Restor.,Voting Rights Restored,Juvenile Sealing Avail,License Impact,BTB Status,Consequence Severity,Collateral Raw Summary,Collateral Firearms,Collateral Immigration,Collateral Voting,Collateral Housing,Collateral Registry,Collateral Employment,Source Citation,Research Status,Statute Version,Last Verified Date,Last Updated By,Corrections Key,State Category.1
Financial Crimes,Unauthorized Banking Activity,Banking & Financial Institution Infractions,Tennessee Industrial Loan and Thrift Companies Act / Prohibited Acts,T.C.A. § 45-5-501,State Code,Tenn. Code Ann. § 45-5-501; Tenn. Code Ann. Section 45-5-501; Tenn.Code Ann.45-5-501; Tenn Code Ann 45-5-501; T.C.A. § 45-5-501; T.C.A. 45-5-501; TCA § 45-5-501; TCA 45-5-501; tca 45-5-501; State Code 45-5-501; Muni Code 45-5-501; City Ord. 45-5-501; 45-5-501; 455501; 45-5-0501; 4550501; 045-005-0501; 45 5 501; 45/5/501; 45_5_501,Criminal Conviction / Administrative Cease-and-Desist,"Unlicensed Consumer Lending / Industrial Loan Violations; engaging in the business of making consumer loans, equity-linked loans, or charging interest rates exceeding standard state usury caps without an active license registered under the Industrial Loan and Thrift Act framework.",Criminal / Financial / Consumer Protection,Conviction / Administrative Compliance Review,Class B Misdemeanor (Each loan transaction constitutes a separate criminal count),,Tier 3,No,No,6 months flat custodial exposure per count in the local county jail or workhouse,"$500 per criminal transaction count (Plus TDFI administrative assessments up to $1,000 per un-permitted consumer contract under T.C.A. § 45-5-502)",,TN_MISD_B_LOAN,75% standard misdemeanor threshold,Yes,No,Yes,Court Discretion,No,,Yes,Yes,No baseline,Court Discretion,Yes (Standard Class B property/regulatory misdemeanors are clearable under state record relief paths),5 years from sentence termination,Yes (Criminal court record segment only; TDFI registries of illegal lender structures are permanent public logs),Yes (Governor),Intact,Intact,,"Mandatory statutory revocation of all present and future consumer finance registrations, premium finance licenses, and pawn broking permits.",Protected,3,"Unlicensed loan contracts are legally deemed null, void, and unenforceable under Tennessee law, stripping the lender of any legal right to collect principal or interest from borrowers.",Intact,Pure licensing/usury infractions carry no direct deportation hooks under the INA,Intact,No impact,,"Direct background barrier for tracking assignments involving commercial loan underwriting, mortgage servicing platforms, and corporate micro-finance infrastructure.",T.C.A. § 45-5-501; T.C.A. § 45-5-502; Rules of the TDFI Chapter 0180-17,Verified,2026,2026-06,TDFI_REG_SYS_01,TN_LOAN_THRIFT_UNLIC_MISD,Banking & Financial Institution Infractions
Financial Crimes,Unauthorized Banking Activity,Banking & Financial Institution Infractions,Tennessee Department of Financial Institutions / Administration and Enforcement,T.C.A. § 45-1-108,State Administrative Code Integration,Tenn. Code Ann. § 45-1-108; Tenn. Code Ann. Section 45-1-108; Tenn.Code Ann.45-1-108; Tenn Code Ann 45-1-108; T.C.A. § 45-1-108; T.C.A. 45-1-108; TCA § 45-1-108; TCA 45-1-108; tca 45-1-108; State Code 45-1-108; Muni Code 45-1-108; City Ord. 45-1-108; 45-1-108; 451108; 45-1-0108; 4510108; 045-001-0108; 45 1 108; 45/1/108; 45_1_108,Administrative Final Order / Civil Penalty Registry,"TDFI Civil Money Penalty Assessment; a state-level final order levying non-criminal monetary penalties against a bank or trust company director for violating a final cease-and-desist order, maintaining unsafe or unsound lending concentrations, or ignoring prompt corrective action warnings.",Financial / Fiduciary Professional Disqualification,Administrative Enforcement / TDFI Board Final Adjudication,Administrative Civil Violation / Corporate Compliance Fine Track,,Tier 4,No,No,None (Purely administrative and financial tracking framework),"$10,000 per violation day, compounding dynamically under tiered regulatory infraction models",,,,No,No,No,,,,,,No,No,"No (TDFI formal final enforcement orders, CMP assessments, and structural safety rating downgrades are permanent records visible to federal authorities)",,No,No (Executive clemency pathways do not reach independent state board regulatory fines),Intact,Intact,,Suspension or lifetime revocation of the entity's banking or fiduciary charter operational rights; mandatory multi-state reporting via the Nationwide Multistate Licensing System (NMLS).,Excluded (Corporate compliance actions and commercial regulatory fines are completely exempt from private shield models),4,Immediate exclusion from Federal Reserve discount window liquidity privileges; restriction of corporate capital distributions and dividend payments.,Intact,Pure administrative safety and soundness adjustments carry no immigration status implications under the INA,Intact,No impact,,"Direct lifetime bar from holding an executive compliance or board seat at any financial institution, money transmitter, or securities dealership operating within Tennessee.",T.C.A. § 45-1-108; TDFI Safety and Soundness Rules,Verified,2026,2026-06,TDFI_REG_SYS_01,TN_TDFI_CIV_FINES,Banking & Financial Institution Infractions
Financial Crimes,Unauthorized Banking Activity,Banking & Financial Institution Infractions / Administrative Compliance Tracks,Tennessee Code Annotated (T.C.A.) / Department of Financial Institutions Act,T.C.A. § 45-1-124 & T.C.A. § 45-2-1701,State Code & Administrative Rules Integration,Tenn. Code Ann. § 45-1-124; Tenn. Code Ann. Section 45-1-124; Tenn.Code Ann.45-1-124; Tenn Code Ann 45-1-124; T.C.A. § 45-1-124; T.C.A. 45-1-124; TCA § 45-1-124; TCA 45-1-124; tca 45-1-124; State Code 45-1-124; Muni Code 45-1-124; City Ord. 45-1-124; 45-1-124; 451124; 45-1-0124; 4510124; 045-001-0124; 45 1 124; 45/1/124; 45_1_124; Tenn. Code Ann. § 45-2-1701; Tenn. Code Ann. Section 45-2-1701; Tenn.Code Ann.45-2-1701; Tenn Code Ann 45-2-1701; T.C.A. § 45-2-1701; T.C.A. 45-2-1701; TCA § 45-2-1701; TCA 45-2-1701; tca 45-2-1701; State Code 45-2-1701; Muni Code 45-2-1701; City Ord. 45-2-1701; 45-2-1701; 4521701; 045-002-1701; 45 2 1701; 45/2/1701; 45_2_1701,Administrative Final Order / Civil Monetary Penalty (CMP) Record,"Administrative Non-Compliance / Violation of TDFI Safety and Soundness Rules; violating a written cease-and-desist order, operating with critically deficient capital structures, failing to comply with prompt corrective action mandates, or submitting false reports to the Commissioner of Financial Institutions.",Financial / Administrative Regulatory / Corporate Governance,Administrative Enforcement / TDFI Board Adjudication,Administrative Regulatory Violation / Civil Penalty Track,,Tier 2,No,No,None (Purely administrative and financial tracking framework),"$25,000 per violation day for institutions, compounding dynamically up to $1,000,000 for systemic institutional evasion loops",,,,No,No,No,,,,,,No,No,"No (TDFI administrative enforcement logs, final agency dockets, and supervisory restriction decrees are permanently public assets)",,No,No (Executive clemency pathways do not reach independent state financial regulatory assessments),Intact (Unless companion criminal felony records apply),Intact,,"Mandatory provisional suspension, permanent revocation of the institution's state charter, or seizure of corporate operational authority via conservatorship placement.",Excluded (Corporate compliance actions and commercial banking regulatory files are completely exempt from private shield models),5,Immediate trigger for federal cross-enforcement actions by the FDIC or Federal Reserve System; placement on national banking infrastructure exclusion indices.,Intact,Standard corporate administrative regulatory fines carry no status implications under the INA,Intact,"No direct housing bar, but institutional receivership liquidates corporate equity positions",,"Absolute screening bar for life across the financial services sector, state revenue tracking, public procurement, and executive corporate leadership.",T.C.A. § 45-1-124; Rules of the Tennessee Department of Financial Institutions Chapter 0180-01,Verified,2026,2026-06,TDFI_REG_SYS_01,TN_TDFI_REG_FINES,Banking & Financial Institution Infractions / Administrative Compliance Tracks
Financial Crimes,Unauthorized Banking Activity,Banking & Financial Institution Infractions / Administrative Compliance Tracks,Tennessee Code Annotated (T.C.A.) / Banking Institutions Act,T.C.A. § 45-2-402 & T.C.A. § 45-2-404,State Code,Tenn. Code Ann. § 45-2-402; Tenn. Code Ann. Section 45-2-402; Tenn.Code Ann.45-2-402; Tenn Code Ann 45-2-402; T.C.A. § 45-2-402; T.C.A. 45-2-402; TCA § 45-2-402; TCA 45-2-402; tca 45-2-402; State Code 45-2-402; Muni Code 45-2-402; City Ord. 45-2-402; 45-2-402; 452402; 45-2-0402; 4520402; 045-002-0402; 45 2 402; 45/2/402; 45_2_402; Tenn. Code Ann. § 45-2-404; Tenn. Code Ann. Section 45-2-404; Tenn.Code Ann.45-2-404; Tenn Code Ann 45-2-404; T.C.A. § 45-2-404; T.C.A. 45-2-404; TCA § 45-2-404; TCA 45-2-404; tca 45-2-404; State Code 45-2-404; Muni Code 45-2-404; City Ord. 45-2-404; 45-2-404; 452404; 45-2-0404; 4520404; 045-002-0404; 45 2 404; 45/2/404; 45_2_404,Civil Surcharge Judgment / Personal Fiduciary Assessment File,"Personal Fiduciary Liability Assessment of Bank Directors; a state-ordered civil surcharge or personal financial assessment levied directly against a bank director or executive officer for gross negligence, intentional violation of lending limits, or permitting unsafe insider loan practices that result in loss to the institution.",Fiduciary / Personal Wealth Liquidation / Financial,Civil Enforcement Adjudication / Chancery Court Property Lien Execution,"Civil Action In Personam (Imposing direct, personal financial liability on the executive independent of corporate indemnity blocks)",,Tier 2,No,No,None (Purely civil property and asset surcharge action),"Complete personal civil restitution matching the total loss suffered by the institution, plus individual administrative surcharges up to $10,000 per violation count",,,,No,No,No,,,,,,No,No,"No (Chancery Court civil judgments, personal asset attachment orders, and TDFI director debarment registries remain public permanent assets)",,No,No (Executive clemency does not apply to civil judicial asset liquidations or fiduciary surcharges),Intact,Intact,,Mandatory permanent suspension or lifetime revocation of individual banking officer credentials; automatic entry on the FDIC Section 19 Prohibited Persons list.,Excluded (Financial asset surcharges and director fiduciary records bypass standard ban-the-box job shields),4,Establishes an explicit non-dischargeable debt profile under federal bankruptcy codes 11 U.S.C. § 523(a)(4) for fraud or defalcation while acting in a fiduciary capacity.,Intact,"Fiduciary conversion and fraud assessments exceeding $10,000 are routinely flagged as deportable metrics by federal authorities under the INA",Intact,Personal real estate holdings can be frozen or clouds created via immediate state-filed judicial property attachment liens,,"Lifetime career disqualification from serving as a corporate board member, executive officer, chief financial manager, or public asset trustee.",T.C.A. § 45-2-402; 11 U.S.C. § 523(a)(4) (Federal Cross-Reference),Verified,2026,2026-06,TDFI_REG_SYS_01,TN_BANK_DIR_LIAB_CIV,Banking & Financial Institution Infractions / Administrative Compliance Tracks
Financial Crimes,Embezzlement / Misapplication of Bank Funds,Banking & Financial Institution Infractions / Felony Fraud Tracks,Tennessee Penal Code / Banking Institutions Act,T.C.A. § 45-2-1702,State Code,Tenn. Code Ann. § 45-2-1702; Tenn. Code Ann. Section 45-2-1702; Tenn.Code Ann.45-2-1702; Tenn Code Ann 45-2-1702; T.C.A. § 45-2-1702; T.C.A. 45-2-1702; TCA § 45-2-1702; TCA 45-2-1702; tca 45-2-1702; State Code 45-2-1702; Muni Code 45-2-1702; City Ord. 45-2-1702; 45-2-1702; 4521702; 045-002-1702; 45 2 1702; 45/2/1702; 45_2_1702,Criminal Conviction,"Misapplication of Bank Funds by Fiduciary Officer; an officer, director, employee, or agent of a state-chartered bank or trust company knowingly embezzling, abstracting, misapplying, or willfully diverting any of the bank's currency, funds, assets, or credits with the intent to injure or defraud the institution.",Criminal / Financial / Public Integrity,Conviction / Sentence Execution,Graduated White-Collar Felony (Class E Felony baseline through Class B Felony based entirely on the target monetary value of the misapplied bank funds matching standard state theft ladders),Level 1 to Level 6 (Tied directly to the final felony value categorization tier),Tier 1,No,Yes (Classified under severe white-collar corporate crime and public financial exploitation tracking protocols),"Up to 30 years if the converted value exceeds $250,000, triggering Class B Felony enhancement tracks for persistent offenders; baseline exposure for a standard Range I offender is 8 to 12 years inside a TDOC state prison facility","$25,000 (Tied to the designated felony value classification)",Value-Based Felony Track,TN_FEL_BANK_GRADED,30% flat time served required before initial parole eligibility for standard Range I offenders,No (Requires long-term TDOC state prison housing),Yes,Yes (Court discretion; frequently barred if high financial values are verified),Court Discretion,Yes,,Yes,Yes,Yes (Often required for high-dollar corporate restitution tracking monitoring setups),Conditional,No (High-value fiduciary thefts or banking fraud offenses are permanently barred from expungement databases under T.C.A. § 40-32-101 rules),,No,Yes (Governor),No (Felony status leaves a permanent federal possession bar under 18 U.S.C. § 922(g)(1)),"Automatic only upon final discharge, expiration, or official sentence completion of the entire term",,"Permanent Lifetime Revocation of all public accounting, fiscal management, legal practice, real estate escrow management, or corporate financial credentials.",Excluded (Severe white-collar corporate felonies are entirely exempt from ban-the-box hiring structures),5,Enforceable multi-million dollar corporate restitution mandates; immediate asset attachment tracks for property recovery under T.C.A. § 40-20-116; permanent entry on the FDIC Section 19 statutory prohibition list.,Permanent federal lifetime firearm possession ban,"Deemed an Aggravated Felony Crime Involving Fraud/Deceit under INA § 101(a)(43)(M)(i) if value metrics exceed $10,000, producing mandatory federal detention, deportation, and an absolute lifetime bar from re-entry",Disfranchised for the active duration of the felony sentence execution,Severe restriction profiles across private sector real estate networks based on un-sealable high-tier felony fraud classifications,,"Lifetime career disqualification across all corporate executive positions, public administration, banking boards, securities oversight, and wealth management entities.",T.C.A. § 45-2-1702; T.C.A. § 39-14-103; T.C.A. § 39-14-105 (Value Ladders),Verified,2026,2026-06,TDFI_REG_SYS_01,TN_BANK_MISAPPLY_FEL,Banking & Financial Institution Infractions / Felony Fraud Tracks
Financial Crimes,Securities Fraud / Broker-Dealer Violations,Securities & Broker-Dealer Violations,Tennessee Code Annotated (T.C.A.) / Tennessee Securities Act of 1980,T.C.A. § 48-1-104,State Code,Tenn. Code Ann. § 48-1-104; Tenn. Code Ann. Section 48-1-104; Tenn.Code Ann.48-1-104; Tenn Code Ann 48-1-104; T.C.A. § 48-1-104; T.C.A. 48-1-104; TCA § 48-1-104; TCA 48-1-104; tca 48-1-104; State Code 48-1-104; Muni Code 48-1-104; City Ord. 48-1-104; 48-1-104; 481104; 48-1-0104; 4810104; 048-001-0104; 48 1 104; 48/1/104; 48_1_104,Criminal Conviction / Administrative Final Order,"Unregistered Broker-Dealer or Agent Operations; transacting business in Tennessee as a broker-dealer, agent, investment adviser, or investment adviser representative without maintaining an active registration with the Tennessee Securities Division.",Criminal / Financial / Professional Licensure,Conviction / Administrative Adjudication,Class D Felony (If executed with knowing intent to defraud) / Administrative Regulatory Tier 1,Level 2,Tier 2,No,No,12 years (Maximum for Range III persistent offenders; baseline Range I exposure is 2 to 4 years inside a Tennessee Department of Correction state prison facility),"$5,000 per criminal count / $10,000 per violation day civil administrative penalty under T.C.A. § 48-1-112",Standard Felony Track,TN_FEL_D_SEC,30% flat time served required before initial parole eligibility for standard Range I offenders,No,Yes,Yes (Court discretion),Court Discretion,Yes,,Yes,Yes,"No baseline, but frequently applied as a condition of felony white-collar probation",Conditional,No (T.C.A. § 40-32-101 explicitly bars all high-value white-collar corporate fraud or securities offenses from record expungement or sealing tracks),,No,Yes (Governor),No (Felony status leaves a permanent federal possession bar under 18 U.S.C. § 922(g)(1)),Automatic upon final discharge or expiration of the entire sentence block,,"Mandatory Permanent Statutory Disqualification from registration as a broker-dealer, agent, or adviser in Tennessee; trigger for reciprocal FINRA/SEC industry-wide debarment.",Excluded (Felonies targeting public capital markets are entirely exempt from ban-the-box workplace protections),4,Immediate inclusion on the Central Registration Depository (CRD) public blacklists; mandatory full asset attachment and restitution actions via the state Attorney General.,Permanent federal lifetime firearm possession ban,"Classified as an offense involving fraud or deceit; triggers an aggravated felony designation under INA § 101(a)(43)(M)(i) if the total loss to investors exceeds $10,000, mandating deportation",Disfranchised for the active duration of the felony sentence execution,Subject to commercial rental denials based on active un-sealed felony fraud profiles,,"Absolute screening bar for life across the financial services sector, fiduciary asset management, public corporate accounting, and public procurement infrastructure.",T.C.A. § 48-1-104; Rules of the TN Dept of Commerce & Insurance Chapter 0780-04-02,Verified,2026,2026-06,SEC_REG_SYS_01,TN_SEC_UNREG_FEL,Securities & Broker-Dealer Violations
Financial Crimes,Securities Fraud / Broker-Dealer Violations,Securities & Broker-Dealer Violations,Tennessee Code Annotated (T.C.A.) / Tennessee Securities Act of 1980,T.C.A. § 48-1-106,State Code,Tenn. Code Ann. § 48-1-106; Tenn. Code Ann. Section 48-1-106; Tenn.Code Ann.48-1-106; Tenn Code Ann 48-1-106; T.C.A. § 48-1-106; T.C.A. 48-1-106; TCA § 48-1-106; TCA 48-1-106; tca 48-1-106; State Code 48-1-106; Muni Code 48-1-106; City Ord. 48-1-106; 48-1-106; 481106; 48-1-0106; 4810106; 048-001-0106; 48 1 106; 48/1/106; 48_1_106,Criminal Conviction / Administrative Final Order,"Sale of Unregistered Securities; selling or offering to sell any security in the State of Tennessee unless it has an active state registration, is a federally covered security, or qualifies for a lawful exemption.",Criminal / Financial / Securities Enforcement,Conviction / Administrative Compliance Action,Class D Felony / Civil Enforcement Matrix,Level 2,Tier 2,No,No,12 years (Maximum for Range III persistent offenders; baseline Range I exposure is 2 to 4 years inside a TDOC state prison facility),"$5,000 per count (Criminal) / $10,000 per transaction civil administrative assessment under T.C.A. § 48-1-112",Standard Felony Track,TN_FEL_D_UNREG_ASSET,30% flat time served required before initial parole eligibility for a Range I offender,No,Yes,Yes,Court Discretion,Yes,,Yes,Yes,No baseline,Conditional,No (Explicitly excluded under T.C.A. § 40-32-101 due to public investment safety parameters),,No,Yes (Governor),No (Felony status leaves a permanent federal possession bar under 18 U.S.C. § 922(g)(1)),Automatic upon final discharge of the entire felony sentence,,"Mandatory revocation of existing financial certifications; statutory trigger for ""Bad Actor"" disqualification under SEC Rule 506(d) of Regulation D, blocking future private placement offerings.",Excluded,4,"Immediate cease-and-desist publication by the Securities Division; rescission liability under T.C.A. § 48-1-122, forcing the operator to refund the full principal investment plus 6% interest to all buyers.",Permanent federal lifetime firearm possession ban,"Triggers aggravated felony tracking under INA guidelines if corporate losses cross the $10,000 threshold",Disfranchised during active sentence execution,"No direct public housing bar, but limits commercial real estate lease capacity",,"Lifetime ban from serving as an officer, promoter, director, or capital fundraiser for any public or private corporate enterprise.",T.C.A. § 48-1-106; T.C.A. § 48-1-122; SEC Rule 506(d),Verified,2026,2026-06,SEC_REG_SYS_01,TN_SEC_UNREG_ASSET_FEL,Securities & Broker-Dealer Violations
Financial Crimes,Securities Fraud / Broker-Dealer Violations,Securities & Broker-Dealer Violations,Tennessee Code Annotated (T.C.A.) / Tennessee Securities Act of 1980,T.C.A. § 48-1-121(a),State Code,Tenn. Code Ann. § 48-1-121(a); Tenn. Code Ann. Section 48-1-121(a); Tenn.Code Ann.48-1-121(a); Tenn Code Ann 48-1-121(a); T.C.A. § 48-1-121(a); T.C.A. 48-1-121(a); TCA § 48-1-121(a); TCA 48-1-121(a); tca 48-1-121(a); State Code 48-1-121(a); Muni Code 48-1-121(a); City Ord. 48-1-121(a); 48-1-121(a); 481121; 481121a; 48-1-0121; 4810121; 048-001-0121; 48 1 121; 48/1/121; 48_1_121,Criminal Conviction,"Employment of Fraudulent Securities Devices; employing any device, scheme, or artifice to defraud, making material misrepresentations, or engaging in a course of business that operates as a fraud or deceit upon any person in connection with the offer, sale, or purchase of a security.",Criminal / Financial / Public Integrity,Conviction / Sentence Execution,Class B Felony (Elevated baseline status for structural enterprise fraud under securities boundaries),Level 6,Tier 1,No,Yes (Classified under severe white-collar corporate crime and public financial exploitation tracking protocols),30 years (Maximum for Range III persistent offenders; baseline exposure for standard Range I track is 8 to 12 years inside the TDOC state prison network),"$25,000 (Excludes statutory double-value restitution targets)",Severe Felony Track,TN_FEL_B_SEC_FRAUD,"30% flat time served required before initial parole eligibility, with strong institutional opposition from state gaming/securities commissions standard",No (Requires long-term TDOC state prison housing),Yes,Restricted (Only available under specialized alternative sentencing matrices or severe mitigation profiles; court discretion),Restricted,Yes,,Yes (Subject to a 15% maximum reduction limit under modern public safety structures),Yes,Yes (Mandatory pre-release and conditional tracking requirement),Restricted (Pre-release tracks only during the final 12 months of confinement),No (Class B felonies are permanently barred from expungement or record erasure avenues),,No,Yes (Governor),No (Permanent state and federal lifetime prohibition under 18 U.S.C. § 922(g)(1)),"Automatic only upon final discharge, expiration, or official sentence completion of the multi-decade term",,"Permanent Lifetime Revocation of all public accounting, corporate management, financial advisement, legal practice, or securities credentials across all 50 states.",Excluded (Severe high-tier white collar corporate felonies are completely exempt from ban-the-box hiring structures),5,Enforceable multi-million dollar corporate restitution mandates; immediate asset attachment tracks for corporate property recovery under T.C.A. § 40-20-116; permanent entry on federal corporate debarment systems (SAM.gov tracking).,Permanent federal lifetime firearm possession ban,"Deemed an Aggravated Felony Crime Involving Fraud/Deceit under INA § 101(a)(43)(M)(i) if value metrics exceed $10,000, producing mandatory federal detention, deportation, and an absolute lifetime bar from re-entry",Disfranchised for the active duration of the felony sentence execution,Severe restriction profiles across private sector real estate networks based on un-sealable Class B corporate felony classifications,,"Lifetime career disqualification across all corporate executive positions, public administration, banking boards, securities oversight, and gaming compliance entities.",T.C.A. § 48-1-121(a); T.C.A. § 48-1-122,Verified,2026,2026-06,SEC_REG_SYS_01,TN_SEC_FRAUD_CORE_FEL,Securities & Broker-Dealer Violations
Financial Crimes,Securities Fraud / Broker-Dealer Violations,Securities & Broker-Dealer Violations,Tennessee Code Annotated (T.C.A.) / Tennessee Securities Act of 1980,T.C.A. § 48-1-121(c),State Code,Tenn. Code Ann. § 48-1-121(c); Tenn. Code Ann. Section 48-1-121(c); Tenn.Code Ann.48-1-121(c); Tenn Code Ann 48-1-121(c); T.C.A. § 48-1-121(c); T.C.A. 48-1-121(c); TCA § 48-1-121(c); TCA 48-1-121(c); tca 48-1-121(c); State Code 48-1-121(c); Muni Code 48-1-121(c); City Ord. 48-1-121(c); 48-1-121(c); 481121; 481121c; 48-1-0121; 4810121; 048-001-0121; 48 1 121; 48/1/121; 48_1_121,Criminal Conviction / Administrative Final Order,"Market Manipulation and Wash Sales; creating a false or misleading appearance of active trading in any security, or false appearance with respect to the market for any such security, via wash sales, matched orders, or artificial volume simulation for the purpose of manipulating asset prices.",Criminal / Financial / Public Integrity,Conviction / Sentence Execution,Class C Felony / Regulatory Tier 1,Level 3,Tier 2,No,No,15 years (Maximum for Range III persistent offenders; baseline exposure for standard Range I track is 3 to 6 years inside the TDOC state prison network),"$10,000 (Excludes statutory double-value restitution targets)",Standard Felony Track,TN_FEL_C_SEC_MANIP,30% flat time served required before initial parole eligibility for Range I standard offenders,No,Yes,Yes,Court Discretion,Yes,,Yes,Yes,"No baseline, but ordered on high-dollar financial tracking releases",Conditional,No (Explicitly excluded under T.C.A. § 40-32-101 due to market integrity tracking requirements),,No,Yes (Governor),No (Permanent federal lifetime firearm possession bar remains under 18 U.S.C. § 922(g)(1)),Automatic upon final discharge or complete expiration of the full prison and probation terms,Yes,"Mandatory disqualification from obtaining or maintaining any professional brokerage, clearinghouse management, or financial analysis credentials.",Excluded,4,Immediate asset freeze orders across clearing accounts; permanent bar from serving as a market maker or designated trading specialist within Tennessee boundaries.,Permanent federal lifetime firearm possession ban,"Classified as an offense involving theft or fraud; triggers an aggravated felony classification under INA § 101(a)(43)(M)(i) if the prize claim value exceeds $10,000, bringing mandatory deportability",Disfranchised for the active duration of the state sentence execution,Subject to commercial rental denials based on active un-sealed felony fraud profiles,,"Absolute screening bar within any public administration, fiduciary asset handling, corporate auditing, or state revenue infrastructure.",T.C.A. § 48-1-121(c); FINRA Rule 2020 (Federal Cross-Reference),Verified,2026,2026-06,SEC_REG_SYS_01,TN_SEC_MARKET_MANIP_FEL,Securities & Broker-Dealer Violations
Financial Crimes,Securities Director / Officer Bars,Securities & Broker-Dealer Violations,Tennessee Code Annotated (T.C.A.) / Tennessee Securities Act of 1980,T.C.A. § 48-1-112(a)(2)(G),State Administrative Code Integration,Tenn. Code Ann. § 48-1-112(a)(2)(G); Tenn. Code Ann. Section 48-1-112(a)(2)(G); Tenn.Code Ann.48-1-112(a)(2)(G); Tenn Code Ann 48-1-112(a)(2)(G); T.C.A. § 48-1-112(a)(2)(G); T.C.A. 48-1-112(a)(2)(G); TCA § 48-1-112(a)(2)(G); TCA 48-1-112(a)(2)(G); tca 48-1-112(a)(2)(G); State Code 48-1-112(a)(2)(G); Muni Code 48-1-112(a)(2)(G); City Ord. 48-1-112(a)(2)(G); 48-1-112(a)(2)(G); 481112; 481112a2G; 48-1-0112; 4810112; 048-001-0112; 48 1 112; 48/1/112; 48_1_112,Administrative Final Order / Licensing Action,"Reciprocal Statutory Disqualification Stop-Order; being subject to an order, adjudication, or suspension by another state securities administrator, the SEC, FINRA, or a foreign regulatory authority, triggering an automatic reciprocal state stop-order or license revocation in Tennessee.",Administrative Regulatory / Professional Licensure,Administrative Adjudication / Licensing Review,Administrative Final Order / Non-Criminal Disqualification Track,,Tier 3,No,No,None (Purely administrative and licensing tracking framework),"Civil money penalties up to $10,000 per violation count under state board tracking structures",,,,No,No,No,,,,,,No,No,No (Administrative regulatory actions remain public indefinitely on FINRA BrokerCheck and the Tennessee Securities Division enforcement database),,No,No (Executive clemency pathways do not reach independent state board regulatory actions),Intact,Intact,,"Mandatory permanent revocation or suspension of broker-dealer, agent, or investment adviser registration in Tennessee.",Excluded (Corporate and maritime licensing tracking maps are entirely exempt from standard private sector shield protections),4,Immediate cross-state notification via the National Association of Securities Dealers Automated Quotations network; entry into the Central Registration Depository (CRD) database as a barred individual.,Intact,Pure administrative safety violations carry no immigration or status implications under the INA,Intact,No impact,,"Lifetime ban from serving as an compliance officer, broker, clearing representative, or back-office clerk for any licensed financial entity.",T.C.A. § 48-1-112; 15 U.S.C. § 78o(b)(4) (Federal Cross-Reference),Verified,2026,2026-06,SEC_REG_SYS_01,TN_SEC_RECIP_STOP_CIV,Securities & Broker-Dealer Violations
