State Category,Subcategory,Group Category,Statutory Title,Statute Number,Authority Type,Alternate Citations,Record Type,Offense Description,Consequence Category,Lifecycle Stage,Offense Classification,DOC Seriousness Level,Internal Screening Tier,Violent Offense,Act 659,Max Jail Time,Max Financial Fine,PAA Release Tier,Release Code,Release Parole Tier Full,Jail Only,Prison Eligible,Probation Eligible,SIS / Suspended Sentence,Parole Eligible,Mandatory Minimum,Earned Time Credits,Good Time Eligible,Electronic Monitoring,Work Release Eligible,Sealing Eligible,Sealing Waiting Period,Expungement Eligible,Pardon Eligible,Firearm Rights Restorable,Voting Rights Restored,Juvenile Sealing Available,License Impact,BTB Status,Consequence Severity,Key Collateral Consequences Raw,Collateral Firearms,Collateral Immigration,Collateral Voting,Collateral Housing Benefits,Collateral Registry,Collateral Employment,Source Citation,Research Status,Statute Version,Last Verified Date,Last Updated By,Corrections & Relief Key
Public Health & Welfare,Building / Zoning / Safety Codes,Group 2: Occupational Registry Systems,Contractors Licensure,ACA § 17-25-101 et seq.,Registry,Ark. Code Ann. § 17-25-101 | Arkansas Code Annotated § 17-25-101 | Arkansas Code § 17-25-101 | A.C.A. § 17-25-101 | A.C.A. 17-25-101 | ACA § 17-25-101 | ACA 17-25-101 | Ark.Code Ann.17-25-101 | Ark Code 17-25-101 | Ark. Code 17-25-101 | ar code sect 17-25-101 | § 17-25-101 | A.C.A.§ 17-25-101 | A.C.A.§17-25-101 | §17-25-101 | 17-25-101 | 1725101 | 17-25-0101 | 17 25 101 | 17/25/101 | 17_25_101,Registry,AR Contractor Registry – Formal licensing board citations and code violations logged in state compliance system.,Registry,Registry,State Compliance Log,,,No,No,,,,,,,,,,,,,,,,,,,,,,,Suspension of active construction bidding privileges,,2 – Standard Misdemeanor,Civil penalty up to $400 per day of un-bonded operations; ACLB Roster of Certified Contractors entry; limits commercial infrastructure project bidding; enforced by Arkansas Contractors Licensing Board,None indicated,None indicated,None indicated,None indicated,None indicated,Standard employer discretion,Ark. Code Ann. ACA § 17-25-101 et seq. | Contractors Licensure,Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes = Definitively eligible
No = Not available
Eligible = Subject to standard rules
Court Discretion = Requires judicial approval
Limited = Restricted circumstances only
Restricted = Requires special findings
N/A = Not applicable to this record type
N/A (local) = Local sentence; state system N/A

RECORD RELIEF
Yes = Eligible under AR sealing/expungement rules
Conditional = Subject to waiting period or court approval
No = Not eligible under Arkansas law
Yes (Governor) = Eligible for AR Governor's pardon
Automatic = Restored upon meeting statutory conditions
Upon discharge = Restored upon full sentence completion

SEVERITY SCALE
1 – Minor Misdemeanor (Class B/C)
2 – Standard Misdemeanor (Class A)
3 – Non-Violent Felony (Class C/D)
4 – Violent/Serious Felony (Class A/B)
5 – Permanent/Lifetime (Class Y, Capital, Act 659)

RESEARCH STATUS
Verified = Reviewed against primary sources
Needs Review = Flagged for re-verification
Pending = Added but not yet verified"
Sexual Offenses,Child Pornography / Exploitation,Group 2: Sexual Offenses,Child Exploitation Act,§ 5-27-303,Arkansas Code,Ark. Code Ann. § 5-27-303 | Arkansas Code Annotated § 5-27-303 | Arkansas Code § 5-27-303 | A.C.A. § 5-27-303 | A.C.A. 5-27-303 | ACA § 5-27-303 | ACA 5-27-303 | Ark.Code Ann.5-27-303 | Ark Code 5-27-303 | Ark. Code 5-27-303 | ar code sect 5-27-303 | § 5-27-303 | A.C.A.§ 5-27-303 | A.C.A.§5-27-303 | §5-27-303 | 5-27-303 | 527303 | 05-27-303 | 05-27-0303 | 5 27 303 | 5/27/303 | 5_27_303,Criminal Conviction,"Production of Child Pornography – Employing, using, or persuading a minor to engage in sexually explicit conduct for visual recording.",Criminal / Registry,Conviction,Class Y Felony (Highest non-capital tier),,Tier 5,Yes,No,10 to 40 years or Life,"$25,000",Ineligible for standard early parole / 70% rule baseline,,Highly restrictive state board evaluation,No,Yes,Court Discretion,No,,,Yes,Limited,No,No,No,N/A (ineligible),No,Yes (Governor),Conditional (state restoration possible; federal law applies),N/A (LWOP/Death),N/A (adult offense),"Immediate, permanent forfeiture of all professional/teaching credentials",Completely Excluded,5 – Permanent/Lifetime,Arkansas Sex Offender Registry placement (Level 3 or 4); restitution mandates apply; ICAC Task Force enforcement; permanent total lifetime ban across all public and private employment sectors; federal prosecution under 18 U.S.C. § 2251 possible,None indicated,None indicated,None indicated,None indicated,Arkansas Sex Offender Registry placement (Level 3 or 4),Disqualifying for regulated employment (see License Impact),Ark. Code Ann. § 5-27-303 | Child Exploitation Act,Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes = Definitively eligible
No = Not available
Eligible = Subject to standard rules
Court Discretion = Requires judicial approval
Limited = Restricted circumstances only
Restricted = Requires special findings
N/A = Not applicable to this record type
N/A (local) = Local sentence; state system N/A

RECORD RELIEF
Yes = Eligible under AR sealing/expungement rules
Conditional = Subject to waiting period or court approval
No = Not eligible under Arkansas law
Yes (Governor) = Eligible for AR Governor's pardon
Automatic = Restored upon meeting statutory conditions
Upon discharge = Restored upon full sentence completion

SEVERITY SCALE
1 – Minor Misdemeanor (Class B/C)
2 – Standard Misdemeanor (Class A)
3 – Non-Violent Felony (Class C/D)
4 – Violent/Serious Felony (Class A/B)
5 – Permanent/Lifetime (Class Y, Capital, Act 659)

RESEARCH STATUS
Verified = Reviewed against primary sources
Needs Review = Flagged for re-verification
Pending = Added but not yet verified"
Sexual Offenses,Child Pornography / Exploitation,Group 2: Sexual Offenses,Child Exploitation Act,§ 5-27-304,Arkansas Code,Ark. Code Ann. § 5-27-304 | Arkansas Code Annotated § 5-27-304 | Arkansas Code § 5-27-304 | A.C.A. § 5-27-304 | A.C.A. 5-27-304 | ACA § 5-27-304 | ACA 5-27-304 | Ark.Code Ann.5-27-304 | Ark Code 5-27-304 | Ark. Code 5-27-304 | ar code sect 5-27-304 | § 5-27-304 | A.C.A.§ 5-27-304 | A.C.A.§5-27-304 | §5-27-304 | 5-27-304 | 527304 | 05-27-304 | 05-27-0304 | 5 27 304 | 5/27/304 | 5_27_304,Criminal Conviction,"Possession of Child Pornography – Knowingly possessing, viewing, or downloading visual depictions of a minor engaging in sexually explicit conduct.",Criminal / Registry,Conviction,Class C Felony (First offense) / Class B Felony (Subsequent),,Tier 3,Yes,No,10 years (Class C) / 20 years (Class B),"$10,000 (Class C) / $15,000 (Class B)",Standard Felony Track,GRID,Standard,No,Yes,Court Discretion,Restricted,Yes (standard),,Yes,Limited,Court Discretion,No,No,N/A (ineligible),Conditional,Yes (Governor),Conditional (state restoration possible; federal law applies),Upon discharge / completion of sentence,N/A (adult offense),"Revocation of healthcare, education, and fiduciary licenses",Completely Excluded,4 – Violent/Serious Felony,"Arkansas Sex Offender Registry placement (Level 2 or 3); enforced by Arkansas Crime Information Center (ACIC); permanent absolute ban on schools, healthcare, and state roles; federal prosecution under 18 U.S.C. § 2252 possible",None indicated,None indicated,None indicated,None indicated,Arkansas Sex Offender Registry placement (Level 2 or 3); Arkansas Crime Information Center (ACIC),Disqualifying for regulated employment (see License Impact),Ark. Code Ann. § 5-27-304 | Child Exploitation Act,Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes = Definitively eligible
No = Not available
Eligible = Subject to standard rules
Court Discretion = Requires judicial approval
Limited = Restricted circumstances only
Restricted = Requires special findings
N/A = Not applicable to this record type
N/A (local) = Local sentence; state system N/A

RECORD RELIEF
Yes = Eligible under AR sealing/expungement rules
Conditional = Subject to waiting period or court approval
No = Not eligible under Arkansas law
Yes (Governor) = Eligible for AR Governor's pardon
Automatic = Restored upon meeting statutory conditions
Upon discharge = Restored upon full sentence completion

SEVERITY SCALE
1 – Minor Misdemeanor (Class B/C)
2 – Standard Misdemeanor (Class A)
3 – Non-Violent Felony (Class C/D)
4 – Violent/Serious Felony (Class A/B)
5 – Permanent/Lifetime (Class Y, Capital, Act 659)

RESEARCH STATUS
Verified = Reviewed against primary sources
Needs Review = Flagged for re-verification
Pending = Added but not yet verified"
Sexual Offenses,Child Sexual Offenses,Group 2: Sexual Offenses,Protection of Minors,§ 5-27-602,Arkansas Code,Ark. Code Ann. § 5-27-602 | Arkansas Code Annotated § 5-27-602 | Arkansas Code § 5-27-602 | A.C.A. § 5-27-602 | A.C.A. 5-27-602 | ACA § 5-27-602 | ACA 5-27-602 | Ark.Code Ann.5-27-602 | Ark Code 5-27-602 | Ark. Code 5-27-602 | ar code sect 5-27-602 | § 5-27-602 | A.C.A.§ 5-27-602 | A.C.A.§5-27-602 | §5-27-602 | 5-27-602 | 527602 | 05-27-602 | 05-27-0602 | 5 27 602 | 5/27/602 | 5_27_602,Criminal Conviction,Sexual Grooming of a Minor – Using electronic or physical communication to induce a minor to engage in illicit sexual activity.,Criminal / Registry,Conviction,Class C Felony,,Tier 3,Yes,No,10 years,"$10,000",Standard Felony Track,GRID,Standard,No,Yes,Court Discretion,Restricted,Yes (standard),,Yes,Limited,Court Discretion,No,No,N/A (ineligible),Conditional,Yes (Governor),Conditional (state restoration possible; federal law applies),Upon discharge / completion of sentence,N/A (adult offense),Automated revocation of any youth-facing or community licenses,Completely Excluded,3 – Non-Violent Felony,"Dual registry placement: Arkansas Sex Offender Registry (ACIC) AND Child Maltreatment Central Registry (DHS); permanent absolute ban on schools, churches, and youth coaching; enforced by Local Law Enforcement / Circuit Courts",None indicated,None indicated,None indicated,None indicated,Arkansas Sex Offender Registry (ACIC) AND Child Maltreatment Central Registry (DHS),Disqualifying for regulated employment (see License Impact),Ark. Code Ann. § 5-27-602 | Protection of Minors,Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes = Definitively eligible
No = Not available
Eligible = Subject to standard rules
Court Discretion = Requires judicial approval
Limited = Restricted circumstances only
Restricted = Requires special findings
N/A = Not applicable to this record type
N/A (local) = Local sentence; state system N/A

RECORD RELIEF
Yes = Eligible under AR sealing/expungement rules
Conditional = Subject to waiting period or court approval
No = Not eligible under Arkansas law
Yes (Governor) = Eligible for AR Governor's pardon
Automatic = Restored upon meeting statutory conditions
Upon discharge = Restored upon full sentence completion

SEVERITY SCALE
1 – Minor Misdemeanor (Class B/C)
2 – Standard Misdemeanor (Class A)
3 – Non-Violent Felony (Class C/D)
4 – Violent/Serious Felony (Class A/B)
5 – Permanent/Lifetime (Class Y, Capital, Act 659)

RESEARCH STATUS
Verified = Reviewed against primary sources
Needs Review = Flagged for re-verification
Pending = Added but not yet verified"
Sexual Offenses,Sex Trafficking,Group 2: Sexual Offenses,Human Trafficking Act,§ 5-18-103,Arkansas Code,Ark. Code Ann. § 5-18-103 | Arkansas Code Annotated § 5-18-103 | Arkansas Code § 5-18-103 | A.C.A. § 5-18-103 | A.C.A. 5-18-103 | ACA § 5-18-103 | ACA 5-18-103 | Ark.Code Ann.5-18-103 | Ark Code 5-18-103 | Ark. Code 5-18-103 | ar code sect 5-18-103 | § 5-18-103 | A.C.A.§ 5-18-103 | A.C.A.§5-18-103 | §5-18-103 | 5-18-103 | 518103 | 05-18-103 | 05-18-0103 | 5 18 103 | 5/18/103 | 5_18_103,Criminal Conviction,"Trafficking of Persons (Sexual) – Recruiting, harboring, or transporting a person for the purpose of commercial sex through force, fraud, or coercion.",Criminal / Registry,Conviction,Class Y Felony,,Tier 5,Yes,No,10 to 40 years or Life,"$25,000",70% Discretionary / Violent Track,,Highly restrictive state board evaluation,No,Yes,Court Discretion,No,,,Yes,Limited,No,No,No,N/A (ineligible),No,Yes (Governor),Conditional (state restoration possible; federal law applies),Upon discharge / completion of sentence,N/A (adult offense),"Permanent loss of all commercial, corporate, and professional licenses",Completely Excluded,5 – Permanent/Lifetime,Arkansas Sex Offender Registry AND National Human Trafficking Roster placement; civil treble damages via § 16-118-107; enforced by Attorney General's Human Trafficking Task Force; permanent total lifetime ban across all employment sectors; federal prosecution under 18 U.S.C. § 1591 possible,None indicated,None indicated,None indicated,None indicated,Arkansas Sex Offender Registry AND National Human Trafficking Roster placement,Disqualifying for regulated employment (see License Impact),Ark. Code Ann. § 5-18-103 | Human Trafficking Act,Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes = Definitively eligible
No = Not available
Eligible = Subject to standard rules
Court Discretion = Requires judicial approval
Limited = Restricted circumstances only
Restricted = Requires special findings
N/A = Not applicable to this record type
N/A (local) = Local sentence; state system N/A

RECORD RELIEF
Yes = Eligible under AR sealing/expungement rules
Conditional = Subject to waiting period or court approval
No = Not eligible under Arkansas law
Yes (Governor) = Eligible for AR Governor's pardon
Automatic = Restored upon meeting statutory conditions
Upon discharge = Restored upon full sentence completion

SEVERITY SCALE
1 – Minor Misdemeanor (Class B/C)
2 – Standard Misdemeanor (Class A)
3 – Non-Violent Felony (Class C/D)
4 – Violent/Serious Felony (Class A/B)
5 – Permanent/Lifetime (Class Y, Capital, Act 659)

RESEARCH STATUS
Verified = Reviewed against primary sources
Needs Review = Flagged for re-verification
Pending = Added but not yet verified"
Sexual Offenses,Sexual Misconduct,Group 2: Sexual Offenses,Sexual Offenses / Privacy,§ 5-14-134,Arkansas Code,Ark. Code Ann. § 5-14-134 | Arkansas Code Annotated § 5-14-134 | Arkansas Code § 5-14-134 | A.C.A. § 5-14-134 | A.C.A. 5-14-134 | ACA § 5-14-134 | ACA 5-14-134 | Ark.Code Ann.5-14-134 | Ark Code 5-14-134 | Ark. Code 5-14-134 | ar code sect 5-14-134 | § 5-14-134 | A.C.A.§ 5-14-134 | A.C.A.§5-14-134 | §5-14-134 | 5-14-134 | 514134 | 05-14-134 | 05-14-0134 | 5 14 134 | 5/14/134 | 5_14_134,Criminal Conviction,Nonconsensual Sexual Recording (Revenge Porn) – Knowingly distributing intimate images of another person without consent to cause harm or distress.,Criminal / Registry,Conviction,Class A Misdemeanor / Class D Felony (if distributed for profit),,Tier 2,No,No,1 year (Misdemeanor) / 6 years (Felony),"$1,000 (Misdemeanor) / $10,000 (Felony)",Standard track,GRID,Standard,No,Yes,Eligible,Yes,Yes (standard),,Yes,Yes,Court Discretion,Eligible,Conditional,3 years,Conditional,Yes (Governor),Conditional (state restoration possible; federal law applies),Upon discharge / completion of sentence,N/A (adult offense),Suspension of professional licenses if ethical conduct clauses are triggered,Completely Excluded,3 – Non-Violent Felony,"Potential Sex Offender Registry placement depending on minor status of victim; statutory civil damages up to $10,000 per violation; enforced by Local Law Enforcement / Civil Courts; precludes corporate leadership, fiduciary, and state roles",None indicated,None indicated,None indicated,None indicated,None indicated,Disqualifying for regulated employment (see License Impact),Ark. Code Ann. § 5-14-134 | Sexual Offenses / Privacy,Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes = Definitively eligible
No = Not available
Eligible = Subject to standard rules
Court Discretion = Requires judicial approval
Limited = Restricted circumstances only
Restricted = Requires special findings
N/A = Not applicable to this record type
N/A (local) = Local sentence; state system N/A

RECORD RELIEF
Yes = Eligible under AR sealing/expungement rules
Conditional = Subject to waiting period or court approval
No = Not eligible under Arkansas law
Yes (Governor) = Eligible for AR Governor's pardon
Automatic = Restored upon meeting statutory conditions
Upon discharge = Restored upon full sentence completion

SEVERITY SCALE
1 – Minor Misdemeanor (Class B/C)
2 – Standard Misdemeanor (Class A)
3 – Non-Violent Felony (Class C/D)
4 – Violent/Serious Felony (Class A/B)
5 – Permanent/Lifetime (Class Y, Capital, Act 659)

RESEARCH STATUS
Verified = Reviewed against primary sources
Needs Review = Flagged for re-verification
Pending = Added but not yet verified"
Public Health & Welfare,Other Public Health & Welfare,Group 2: Public Health & Welfare,Emergency Medical Services Act,ACA § 20-13-201 et seq.,Arkansas Code,Ark. Code Ann. § 20-13-201 | Arkansas Code Annotated § 20-13-201 | Arkansas Code § 20-13-201 | A.C.A. § 20-13-201 | A.C.A. 20-13-201 | ACA § 20-13-201 | ACA 20-13-201 | Ark.Code Ann.20-13-201 | Ark Code 20-13-201 | Ark. Code 20-13-201 | ar code sect 20-13-201 | § 20-13-201 | A.C.A.§ 20-13-201 | A.C.A.§20-13-201 | §20-13-201 | 20-13-201 | 2013201 | 20-13-0201 | 20 13 201 | 20/13/201 | 20_13_201,Civil Penalty / Administrative,"EMS Discipline – Gross negligence, practicing beyond scope, or drug diversion by an EMT/Paramedic.",Healthcare,Civil / Administrative,Civil Administrative / Misdemeanor Cross,,Tier 2,No,No,Up to 1 year (if prosecuted as a criminal misdemeanor),"Up to $1,000 (Criminal track)",Misdemeanor track,GRID,Standard,,,,,,,,,,,Conditional,,Yes,Yes (Governor),Yes,Upon completion of sentence,N/A (adult offense),Revocation or emergency suspension of EMS certificate,Excluded (Public Safety),3 – Non-Violent Felony,"Civil penalty up to $1,000 per day of uncertified operation; National Registry of EMTs (NREMT) disciplinary log; AK Dept. of Health suspension triggers automatic federal cross-check blocking flight medic, industrial safety, and tactical responder roles nationwide; enforced by Arkansas Department of Health (EMS Division)",None indicated,None indicated,None indicated,None indicated,NREMT) disciplinary log,Standard employer discretion,Ark. Code Ann. ACA § 20-13-201 et seq. | Emergency Medical Services Act,Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes = Definitively eligible
No = Not available
Eligible = Subject to standard rules
Court Discretion = Requires judicial approval
Limited = Restricted circumstances only
Restricted = Requires special findings
N/A = Not applicable to this record type
N/A (local) = Local sentence; state system N/A

RECORD RELIEF
Yes = Eligible under AR sealing/expungement rules
Conditional = Subject to waiting period or court approval
No = Not eligible under Arkansas law
Yes (Governor) = Eligible for AR Governor's pardon
Automatic = Restored upon meeting statutory conditions
Upon discharge = Restored upon full sentence completion

SEVERITY SCALE
1 – Minor Misdemeanor (Class B/C)
2 – Standard Misdemeanor (Class A)
3 – Non-Violent Felony (Class C/D)
4 – Violent/Serious Felony (Class A/B)
5 – Permanent/Lifetime (Class Y, Capital, Act 659)

RESEARCH STATUS
Verified = Reviewed against primary sources
Needs Review = Flagged for re-verification
Pending = Added but not yet verified"
Public Health & Welfare,Other Public Health & Welfare,Group 2: Public Health & Welfare,Psychology / Counseling Practice Acts,ACA § 17-97-310,Arkansas Code,Ark. Code Ann. § 17-97-310 | Arkansas Code Annotated § 17-97-310 | Arkansas Code § 17-97-310 | A.C.A. § 17-97-310 | A.C.A. 17-97-310 | ACA § 17-97-310 | ACA 17-97-310 | Ark.Code Ann.17-97-310 | Ark Code 17-97-310 | Ark. Code 17-97-310 | ar code sect 17-97-310 | § 17-97-310 | A.C.A.§ 17-97-310 | A.C.A.§17-97-310 | §17-97-310 | 17-97-310 | 1797310 | 17-97-0310 | 17 97 310 | 17/97/310 | 17_97_310,Regulatory Action,"Psychology License Discipline – Professional misconduct, dual relationships, fraud, or practicing without a license. Regulated by the Arkansas Psychology Board.",Healthcare,Conviction,Civil Licensing Discipline,,,No,No,None (Civil),None (Criminal),,,,No,No,,Yes,,,Yes,Yes,Court Discretion,,,,,,,,,Revocation or suspension of psychology or counseling license,Excluded (Healthcare/Fiduciary),2 – Standard Misdemeanor,"Civil penalty up to $5,000 per violation track; Board enforcement database / public disciplinary portal entry; psychologists regulated by Arkansas Psychology Board; LPCs and marriage/family therapists regulated by Board of Examiners in Counseling — both operate outside standard Ban-the-Box parameters; permanent preclusion from clinical therapy, evaluation, or institutional roles",None indicated,None indicated,None indicated,None indicated,None indicated,Disqualifying for regulated employment (see License Impact),Ark. Code Ann. ACA § 17-97-310 | Psychology / Counseling Practice Acts,Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes = Definitively eligible
No = Not available
Eligible = Subject to standard rules
Court Discretion = Requires judicial approval
Limited = Restricted circumstances only
Restricted = Requires special findings
N/A = Not applicable to this record type
N/A (local) = Local sentence; state system N/A

RECORD RELIEF
Yes = Eligible under AR sealing/expungement rules
Conditional = Subject to waiting period or court approval
No = Not eligible under Arkansas law
Yes (Governor) = Eligible for AR Governor's pardon
Automatic = Restored upon meeting statutory conditions
Upon discharge = Restored upon full sentence completion

SEVERITY SCALE
1 – Minor Misdemeanor (Class B/C)
2 – Standard Misdemeanor (Class A)
3 – Non-Violent Felony (Class C/D)
4 – Violent/Serious Felony (Class A/B)
5 – Permanent/Lifetime (Class Y, Capital, Act 659)

RESEARCH STATUS
Verified = Reviewed against primary sources
Needs Review = Flagged for re-verification
Pending = Added but not yet verified"
Public Health & Welfare,Other Public Health & Welfare,Group 2: Public Health & Welfare,Counseling Professions Practice Act,ACA § 17-27-308,Arkansas Code,Ark. Code Ann. § 17-27-308 | Arkansas Code Annotated § 17-27-308 | Arkansas Code § 17-27-308 | A.C.A. § 17-27-308 | A.C.A. 17-27-308 | ACA § 17-27-308 | ACA 17-27-308 | Ark.Code Ann.17-27-308 | Ark Code 17-27-308 | Ark. Code 17-27-308 | ar code sect 17-27-308 | § 17-27-308 | A.C.A.§ 17-27-308 | A.C.A.§17-27-308 | §17-27-308 | 17-27-308 | 1727308 | 17-27-0308 | 17 27 308 | 17/27/308 | 17_27_308,Licensing Action,"Licensed Professional Counselor / MFT License Discipline – Professional misconduct, dual relationships, fraud, or practicing without a license. Regulated by the Arkansas Board of Examiners in Counseling (LPCs, Marriage & Family Therapists).",Healthcare,Conviction,Civil Licensing Discipline,,,No,No,None (Civil),None (Criminal),,,,No,No,,Yes,,,Yes,Yes,Court Discretion,,,,,,,,,"Revocation or suspension of LPC, LMFT, or related counseling license",Excluded (Healthcare/Fiduciary),2 – Standard Misdemeanor,"Civil penalty up to $5,000 per violation; Board of Examiners in Counseling public enforcement portal entry; permanent preclusion from clinical therapy, evaluation, or institutional roles; operates outside standard Ban-the-Box parameters",None indicated,None indicated,None indicated,None indicated,Board of Examiners in Counseling Public Disciplinary Portal,Disqualifying for regulated employment (see License Impact),Ark. Code Ann. § 17-27-308 | Counseling Professions Practice Act,Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes = Definitively eligible
No = Not available
Eligible = Subject to standard rules
Court Discretion = Requires judicial approval
Limited = Restricted circumstances only
Restricted = Requires special findings
N/A = Not applicable to this record type
N/A (local) = Local sentence; state system N/A

RECORD RELIEF
Yes = Eligible under AR sealing/expungement rules
Conditional = Subject to waiting period or court approval
No = Not eligible under Arkansas law
Yes (Governor) = Eligible for AR Governor's pardon
Automatic = Restored upon meeting statutory conditions
Upon discharge = Restored upon full sentence completion

SEVERITY SCALE
1 – Minor Misdemeanor (Class B/C)
2 – Standard Misdemeanor (Class A)
3 – Non-Violent Felony (Class C/D)
4 – Violent/Serious Felony (Class A/B)
5 – Permanent/Lifetime (Class Y, Capital, Act 659)

RESEARCH STATUS
Verified = Reviewed against primary sources
Needs Review = Flagged for re-verification
Pending = Added but not yet verified"
Public Health & Welfare,Other Public Health & Welfare,Group 2: Public Health & Welfare,Long-Term Care Facility Licensure Act,ACA § 20-10-201 et seq.,Arkansas Code,Ark. Code Ann. § 20-10-201 | Arkansas Code Annotated § 20-10-201 | Arkansas Code § 20-10-201 | A.C.A. § 20-10-201 | A.C.A. 20-10-201 | ACA § 20-10-201 | ACA 20-10-201 | Ark.Code Ann.20-10-201 | Ark Code 20-10-201 | Ark. Code 20-10-201 | ar code sect 20-10-201 | § 20-10-201 | A.C.A.§ 20-10-201 | A.C.A.§20-10-201 | §20-10-201 | 20-10-201 | 2010201 | 20-10-0201 | 20 10 201 | 20/10/201 | 20_10_201,Civil Penalty / Administrative,Long-Term Care Facility Enforcement – Facility failure to maintain safety standards resulting in resident injury or neglect.,Healthcare,Civil / Administrative,Civil Administrative Sanction,,,No,No,None (Corporate/Administrative entity),None (Criminal),,,,,,,,,,,,,,,,,,,,,"Revocation, suspension, or structural freeze on admissions",N/A (Entity enforcement),3 – Non-Violent Felony,"Civil penalty $250–$10,000 per day based on class of violation (Class A = imminent danger triggers immediate federal Medicare/Medicaid reporting; Class B/C scaled accordingly); State Nursing Home Deficient Practice Log / CMS Care Compare entry; corporate parent entities barred from receiving state funding; enforced by DHS Division of Provider Services & Quality Assurance (DPSQA)",None indicated,None indicated,None indicated,None indicated,None indicated,Disqualifying for regulated employment (see License Impact),Ark. Code Ann. ACA § 20-10-201 et seq. | Long-Term Care Facility Licensure Act,Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes = Definitively eligible
No = Not available
Eligible = Subject to standard rules
Court Discretion = Requires judicial approval
Limited = Restricted circumstances only
Restricted = Requires special findings
N/A = Not applicable to this record type
N/A (local) = Local sentence; state system N/A

RECORD RELIEF
Yes = Eligible under AR sealing/expungement rules
Conditional = Subject to waiting period or court approval
No = Not eligible under Arkansas law
Yes (Governor) = Eligible for AR Governor's pardon
Automatic = Restored upon meeting statutory conditions
Upon discharge = Restored upon full sentence completion

SEVERITY SCALE
1 – Minor Misdemeanor (Class B/C)
2 – Standard Misdemeanor (Class A)
3 – Non-Violent Felony (Class C/D)
4 – Violent/Serious Felony (Class A/B)
5 – Permanent/Lifetime (Class Y, Capital, Act 659)

RESEARCH STATUS
Verified = Reviewed against primary sources
Needs Review = Flagged for re-verification
Pending = Added but not yet verified"
Drug Offenses,"Drug Enhancement, Premises & Specialty Offenses",Group 2: Public Health & Welfare,Substance Abuse Treatment Enforcement Act,ACA § 20-64-201 et seq.,Arkansas Code,Ark. Code Ann. § 20-64-201 | Arkansas Code Annotated § 20-64-201 | Arkansas Code § 20-64-201 | A.C.A. § 20-64-201 | A.C.A. 20-64-201 | ACA § 20-64-201 | ACA 20-64-201 | Ark.Code Ann.20-64-201 | Ark Code 20-64-201 | Ark. Code 20-64-201 | ar code sect 20-64-201 | § 20-64-201 | A.C.A.§ 20-64-201 | A.C.A.§20-64-201 | §20-64-201 | 20-64-201 | 2064201 | 20-64-0201 | 20 64 201 | 20/64/201 | 20_64_201,Civil Penalty / Administrative,Substance Abuse Treatment Licensing – Operating an uncertified rehabilitation center or violating state methadone dispensing rules.,Healthcare,Civil / Administrative,Civil Administrative / Felony Cross,,Tier 3,No,No,Up to 6 years (if pursued as criminal drug distribution),"Up to $10,000 (Criminal track)",Standard Felony Track,GRID,Standard,,,,,,,,,,,Conditional,5 years,Conditional,Yes (Governor),Conditional (state restoration possible; federal law applies),Upon discharge / completion of sentence,N/A (adult offense),Immediate closure of facility and loss of state operating license,Excluded (Controlled Substances),3 – Non-Violent Felony,"Civil penalty up to $5,000 per violation day; SAMHSA national database / State provider blacklist entry; permanent bar on operators and directors from mental health management; enforced by DHS Division of Aging, Adult, and Behavioral Health Services (DAABHS)",None indicated,None indicated,None indicated,None indicated,None indicated,Disqualifying for regulated employment (see License Impact),Ark. Code Ann. ACA § 20-64-201 et seq. | Substance Abuse Treatment Enforcement Act,Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes = Definitively eligible
No = Not available
Eligible = Subject to standard rules
Court Discretion = Requires judicial approval
Limited = Restricted circumstances only
Restricted = Requires special findings
N/A = Not applicable to this record type
N/A (local) = Local sentence; state system N/A

RECORD RELIEF
Yes = Eligible under AR sealing/expungement rules
Conditional = Subject to waiting period or court approval
No = Not eligible under Arkansas law
Yes (Governor) = Eligible for AR Governor's pardon
Automatic = Restored upon meeting statutory conditions
Upon discharge = Restored upon full sentence completion

SEVERITY SCALE
1 – Minor Misdemeanor (Class B/C)
2 – Standard Misdemeanor (Class A)
3 – Non-Violent Felony (Class C/D)
4 – Violent/Serious Felony (Class A/B)
5 – Permanent/Lifetime (Class Y, Capital, Act 659)

RESEARCH STATUS
Verified = Reviewed against primary sources
Needs Review = Flagged for re-verification
Pending = Added but not yet verified"
