Row_Count,State_Category,Subcategory,Group_Category,Statutory_Title,Statute_Number,Authority_Type,Alternate_Citations,Record_Type,Offense_Description,Consequence_Category,Lifecycle_Stage,Offense_Classification,DOC_Seriousness_Level,Internal_Screening_Tier,Violent_Offense,Act_659_State_Equiv,Max_Jail_Prison_Time,Max_Financial_Fine,PAA_Release_Tier,Release_Code,Release_Parole_Tier,Jail_Only,Prison_Eligible,Probation_Eligible,SIS_Suspended_Sentence,Parole_Eligible,Mandatory_Minimum,Earned_Time_Credits,Good_Time_Eligible,Electronic_Monitoring,Work_Release_Eligible,Sealing_Eligible,Sealing_Waiting_Period,Expungement_Eligible,Pardon_Eligible,Firearm_Rights_Restoration,Voting_Rights_Restored,Juvenile_Sealing_Avail,License_Impact,BTB_Status,Consequence_Severity,Collateral_Raw_Summary,Collateral_Firearms,Collateral_Immigration,Collateral_Voting,Collateral_Housing,Collateral_Registry,Collateral_Employment,Source_Citation,Research_Status,Statute_Version,Last_Verified_Date,Last_Updated_By,Corrections_Key,Reportable_Scope
504,Obstruction & Justice Process,Obstruction of Justice,Public Order Offenses,Harassment of a Witness or Juror via Electronic Communication - Arrest Record,720 ILCS 5/32-4a(a-5)-A,Statutory State Code,"720 ILCS 5/32-4a(a-5)-A, 720ILCS5/32-4a-ElecArrest, 720ILCS5324aa5A",Arrest Record / Dropped Charges,Custodial arrest digital hardware seizure or formal charging instrument filed for felony electronic witness harassment resulting in an acquittal dismissal or dropped charges,Administrative / Non-Conviction,Pre-Disposition / Dismissed,Non-Conviction Entry,,Tier 2 Conditional Adjudication Review,No,Not Applicable,0 Days,$0,Level 1 Unrestricted,IL-NONCONV,,No,No,No,Not Applicable,No,,Not Applicable,No,No,No,Yes,Immediate upon official dismissal/acquittal,Yes,Not Applicable,Not Impacted,Unaffected,Not Applicable,Subject to board inquiry but cannot establish an automatic professional bar; provisional device return logs update following absolute case clearing,Fully protected under Illinois Human Rights Act background check limits,Low Adverse Impact,Subject to immediate expungement or sealing under 20 ILCS 2630/5.2; employer utilization heavily restricted by state law,No statutory restriction based on dropped charges,Certified disposition documents required for verification parameters,Unaffected,Protected from automatic exclusion under Cook County and state fair housing guidelines,,Private sector employment use heavily restricted by Illinois Human Rights Act amendments,20 ILCS 2630/5.2,Complete and Live Verified,2026 Active Statutes,2026-07-03,Senior Regulatory Data Validator,Isolated non-conviction pathway tracking for court compliance files,7-year reportable limit (Non-Conviction)
505,Drug Offenses,Possession of Controlled Substance,Drug Offenses,Controlled Substance Possession - Controlled Substance Analog Category,720 ILCS 570/402[Analog],Statutory State Code,"720 ILCS 570/402, 720ILCS570/402-Analog, 720ILCS570402Analog",Criminal Conviction,Knowingly possessing any quantity of a controlled substance analog whose chemical configuration mimics scheduled narcotics to bypass standard statutory frameworks,Felony Criminal Penalties,Post-Disposition Conviction,Class 4 Felony,Level 6 Lower-Intermediate Felony,Tier 1 High Risk Exclusion,No,Substance Abuse and Public Safety Review Track,3 Years,$25000 (plus mandatory structural drug asset fees),Level 3 Restricted,IL-MSR-F4-ANALOG-POSS,1 Year Mandatory Supervised Release,No,Yes,Yes (Eligible for specialized First Offender Probation paths under 720 ILCS 570/410 layouts),Available via Judicial Discretion,Yes,,Standard statutory scale,Yes,Discretionary Placement,Yes,Yes (Controlled substance analog felony convictions are sealable under 20 ILCS 2630/5.2 parameters once all probation terms are fully discharged),3 years post-completion of sentence,No (Unless finalized under a successful Section 410 probation track that avoids an absolute formal conviction entering records),Yes,Ineligible while felony remains unsealed,Automatic upon release from confinement,Not Applicable,"High-risk automatic or discretionary professional board exclusion from pharmacy, clinical care, social work, nursing, or transport logistics",Protected under initial Ban-the-Box timelines,Severe Structural Impact,"Substance felony entry creating automatic exclusions across healthcare administration, pharmaceutical custody, corporate warehouses, and transportation distribution infrastructure until sealed",Permanent firearm restrictions under standard felony classification rules,Absolute ground of deportability/inadmissibility under federal immigration law for any analog or controlled substance classification,Restored post-release,Strict lookback rejections from multi-family leasing models,,"Total temporary operational barrier across hospitals, clinics, high-value asset networks, and logistical fleets",720 ILCS 570/402,Complete and Live Verified,2026 Active Statutes,2026-07-03,Senior Regulatory Data Validator,Normalizes interaction between chemical analog classifications and standard first-offender probation mechanisms,Lifetime reportable (Conviction)
506,Drug Offenses,Possession of Controlled Substance,Drug Offenses,Controlled Substance Possession - Controlled Substance Analog - Arrest Record,720 ILCS 570/402[Analog]-A,Statutory State Code,"720 ILCS 570/402-A, 720ILCS570/402-AnalogArrest, 720ILCS570402AnalogA",Arrest Record / Dropped Charges,Custodial arrest or formal charging instrument filed for felony chemical analog possession resulting in an acquittal dismissal or dropped charges,Administrative / Non-Conviction,Pre-Disposition / Dismissed,Non-Conviction Entry,,Tier 2 Conditional Adjudication Review,No,Not Applicable,0 Days,$0,Level 1 Unrestricted,IL-NONCONV,,No,No,No,Not Applicable,No,,Not Applicable,No,No,No,Yes,Immediate upon official dismissal/acquittal,Yes,Not Applicable,Not Impacted,Unaffected,Not Applicable,Evaluated via individual professional board review,Fully protected under Illinois Human Rights Act background check limits,Low Adverse Impact,Subject to immediate expungement or sealing under 20 ILCS 2630/5.2; cannot be used as an automatic bar to private employment,No statutory restriction based on dropped charges,Certified disposition documents required for verification parameters,Unaffected,Protected from automatic exclusion under Cook County and state fair housing guidelines,,Private sector employment use heavily restricted by Illinois Human Rights Act amendments,20 ILCS 2630/5.2,Complete and Live Verified,2026 Active Statutes,2026-07-03,Senior Regulatory Data Validator,Isolated non-conviction pathway tracking for drug compliance structures,7-year reportable limit (Non-Conviction)
507,Drug Offenses,Drug Trafficking / Distribution,Drug Offenses,Controlled Substance Delivery - Controlled Substance Analog,720 ILCS 570/401[Analog Delivery],Statutory State Code,"720 ILCS 570/401, 720ILCS570/401-Analog, 720ILCS570401AnalogDeliv",Criminal Conviction,"Knowingly manufacturing, delivering, or possessing with intent to manufacture or deliver any quantity of a controlled substance analog designed to mimic scheduled narcotics",Felony Criminal Penalties,Post-Disposition Conviction,Class 2 Felony (assumes baseline structural defaults; enhanced weight scales elevate categories to Class 1 or Class X platforms),Level 4 Moderate Felony,Tier 1 High Risk Exclusion,No,Substance Abuse and Public Safety Review Track,7 Years,$25000 (plus mandatory compounding structural drug asset fees),Level 3 Restricted,IL-MSR-F2-ANALOG-DELIVERY,1 Year Mandatory Supervised Release,No,Yes,Yes,Available via Judicial Discretion,Yes,,Standard statutory scale,Yes,Discretionary Placement,Yes,Yes (Controlled substance analog delivery felony convictions under the Class 2 baseline tier are sealable under 20 ILCS 2630/5.2 if all probation conditions are fully finalized and discharged),3 years post-completion of sentence,No,Yes,Ineligible while felony remains unsealed,Automatic upon release from confinement,Not Applicable,"Permanent professional board revocation or strict multi-decade suspension from pharmacy, clinical care, social work, nursing, or logistics underwriting",Protected under initial Ban-the-Box timelines,Severe Corporate Impact,"High organizational fraud, concealment, and pharmaceutical diversion profiling flag; temporary exclusion from handling sensitive inventory grids, retail operations, and logistics management networks",Permanent firearm restrictions under standard felony classification rules,Absolute ground of deportability/inadmissibility under federal immigration law for any controlled substance distribution offense,Restored post-release,Standard rental screening filters applied,,"Total operational barrier for roles managing clinical inventory hardware arrays, hospital procurement networks, or corporate transport fleets",720 ILCS 570/401,Complete and Live Verified,2026 Active Statutes,2026-07-03,Senior Regulatory Data Validator,Maps explicit chemical analog distribution thresholds separate from baseline scheduled narcotic tracking,Lifetime reportable (Conviction)
508,Drug Offenses,Drug Trafficking / Distribution,Drug Offenses,Controlled Substance Delivery - Controlled Substance Analog - Arrest Record,720 ILCS 570/401[Analog Delivery]-A,Statutory State Code,"720 ILCS 570/401-A, 720ILCS570/401-AnalogDelivArrest, 720ILCS570401AnalogA",Arrest Record / Dropped Charges,Custodial arrest structural chemical testing seizure or formal charging instrument filed for felony analog distribution resulting in an acquittal dismissal or dropped charges,Administrative / Non-Conviction,Pre-Disposition / Dismissed,Non-Conviction Entry,,Tier 2 Conditional Adjudication Review,No,Not Applicable,0 Days,$0,Level 1 Unrestricted,IL-NONCONV,,No,No,No,Not Applicable,No,,Not Applicable,No,No,No,Yes,Immediate upon official dismissal/acquittal,Yes,Not Applicable,Not Impacted,Unaffected,Not Applicable,Subject to board inquiry but cannot establish an automatic statutory professional bar,Fully protected under Illinois Human Rights Act background check limits,Low Adverse Impact,Subject to immediate expungement or sealing under 20 ILCS 2630/5.2; employer utilization heavily restricted by state law,No statutory restriction based on dropped charges,Certified disposition documents required for verification parameters,Unaffected,Protected from automatic exclusion under Cook County and state fair housing guidelines,,Private sector employment use heavily restricted by Illinois Human Rights Act amendments,20 ILCS 2630/5.2,Complete and Live Verified,2026 Active Statutes,2026-07-03,Senior Regulatory Data Validator,Isolated non-conviction pathway tracking for analog data grids,7-year reportable limit (Non-Conviction)
509,Obstruction & Justice Process,Obstruction of Justice,Public Order Offenses,Bringing Contraband into a Penal Institution - Currency / Financial Instruments,720 ILCS 5/31A-1.1(b)[Currency],Statutory State Code,"720 ILCS 5/31A-1.1, 720ILCS5/31A-1.1-Curr, 720ILCS531A11bCurr",Criminal Conviction,"Knowingly bringing or causing to be brought any localized currency, coin, or commercial financial instrument into a secure penal institution or jail facility to establish underground transaction networks",Felony Criminal Penalties,Post-Disposition Conviction,Class 3 Felony (enhanced from property defaults based on institutional market manipulation risks),Level 5 Moderate Felony,Tier 1 High Risk Exclusion,No,Public Safety and Institutional Security Track,5 Years,$25000 (plus structural judicial forfeiture of the involved financial assets),Level 4 Absolute Restriction,IL-MSR-F3-PENAL-CURRENCY,1 Year Mandatory Supervised Release,No,Yes,Yes,Ineligible,Yes,None (Note: Prison sentences execute consecutively to the sentence being served at the time of the offense under Article 31A),Standard statutory scale,Yes,Discretionary Placement,No,No (Felony secure facility currency smuggling and institutional security violations are permanently and statutorily barred from record sealing under 20 ILCS 2630/5.2),Ineligible,No,Yes,Ineligible due to felony conviction status,Automatic upon release from confinement,Not Applicable,"Permanent automatic professional board exclusion from banking, escrow handling, legal services, corporate security clearings, or corporate treasury operations",Exempt from initial Ban-the-Box protections,Maximum Severe Structural Impact,"High institutional safety hazard, financial subversion, and black-market procurement profiling flag; unsealable felony entry; absolute permanent block from all municipal procurement, banking operations, and corporate treasury management",Felony conviction bar under 430 ILCS 65/,Material subversion within secure compounds carries high removal risk factors under federal grids,Restored post-release,Strict lookback rejections from multi-family leasing models,,"Total permanent statutory employment bar across all automated cargo arrays, state utility field setups, currency custody fields, and secure logistics platforms",720 ILCS 5/31A-1.1,Complete and Live Verified,2026 Active Statutes,2026-07-03,Senior Regulatory Data Validator,Maps explicit currency smuggling tracks separate from baseline property contraband entries,Lifetime reportable (Conviction)
510,Obstruction & Justice Process,Obstruction of Justice,Public Order Offenses,Bringing Contraband into a Penal Institution - Currency - Arrest Record,720 ILCS 5/31A-1.1(b)[Currency]-A,Statutory State Code,"720 ILCS 5/31A-1.1(b)-A, 720ILCS5/31A-1.1-CurrArrest, 720ILCS531A11bCurrA",Arrest Record / Dropped Charges,Custodial arrest institutional search interception or formal charging instrument filed for felony currency smuggling into a secure jail or penal facility resulting in an acquittal dismissal or dropped charges,Administrative / Non-Conviction,Pre-Disposition / Dismissed,Non-Conviction Entry,,Tier 2 Conditional Adjudication Review,No,Not Applicable,0 Days,$0,Level 1 Unrestricted,IL-NONCONV,,No,No,No,Not Applicable,No,,Not Applicable,No,No,No,Yes,Immediate upon official dismissal/acquittal,Yes,Not Applicable,Not Impacted,Unaffected,Not Applicable,Subject to intensive board inquiry and background financial file review but cannot establish an automatic professional bar,Fully protected under Illinois Human Rights Act background check limits,Low Adverse Impact,Subject to immediate expungement or sealing under 20 ILCS 2630/5.2; employer utilization heavily restricted by state law,No statutory restriction based on dropped charges,Certified disposition documents required for verification parameters,Unaffected,Protected from automatic exclusion under Cook County and state fair housing guidelines,,Private sector employment use heavily restricted by Illinois Human Rights Act amendments,20 ILCS 2630/5.2,Complete and Live Verified,2026 Active Statutes,2026-07-03,Senior Regulatory Data Validator,Isolated non-conviction pathway tracking for institutional security compliance data,7-year reportable limit (Non-Conviction)
511,Drug Offenses,Drug Trafficking / Distribution,Drug Offenses,Unlawful Possession of Methamphetamine Manufacturing Material,720 ILCS 646/30(a),Statutory State Code,"720 ILCS 646/30(a), 720ILCS646/30, 720ILCS64630a",Criminal Conviction,"Knowingly possessing specialized anhydrous ammonia equipment, pressurized chemical hardware arrays, or structural cooking hardware kits with intent to facilitate methamphetamine manufacturing operations",Felony Criminal Penalties,Post-Disposition Conviction,Class 2 Felony,Level 4 Moderate Felony,Tier 1 High Risk Exclusion,No (Severe environmental hazard and infrastructure asset metric),Severe Public Safety and Drug Manufacturing Disqualification Track,7 Years,$25000 (plus extensive hazardous materials chemical remediation fees and corporate site cleanup liabilities),Level 4 Absolute Restriction,IL-MSR-F2-METHMAT,1 Year Mandatory Supervised Release,No,Yes,Yes (Subject to absolute chemical custody tracking),Ineligible,Yes,None (Unless paired with explicit localized proximity enhancements),Standard statutory scale,Yes,Pre-and-post-release tracking protocols active,No,No (Felony manufacturing equipment possession codes under the Methamphetamine Control Act are permanently and statutorily unsealable under 20 ILCS 2630/5.2 due to widespread systemic risk rules),Ineligible,No,Yes,Ineligible due to felony status,Automatic upon release from confinement,Not Applicable,"Permanent professional board revocation or complete lifetime exclusion from corporate chemistry, pharmacy, industrial logistics, or hazardous material transport networks",Exempt from initial Ban-the-Box protections,Maximum Severe Structural Impact,"Extreme underwriting hazard, environmental liability, and substance enterprise profiling flag; unsealable felony entry; absolute permanent block from all corporate warehousing, logistics routing networks, public procurement, and municipal employment matrices",Felony conviction bar under 430 ILCS 65/,Severe risk parameters ensuring deportability under federal drug enterprise codes,Restored post-release,Strict lookback rejections from multi-family leasing models,,"Total operational barrier for chemical distribution plants, corporate inventory custody grids, and high-value transport fleets",720 ILCS 646/30,Complete and Live Verified,2026 Active Statutes,2026-07-03,Senior Regulatory Data Validator,Maps explicit infrastructure equipment parameters separate from base chemical raw precursor weight lines,Lifetime reportable (Conviction)
512,Drug Offenses,Drug Trafficking / Distribution,Drug Offenses,Unlawful Possession of Methamphetamine Manufacturing Material - Arrest Record,720 ILCS 646/30(a)-A,Statutory State Code,"720 ILCS 646/30(a)-A, 720ILCS646/30-Arrest, 720ILCS64630aA",Arrest Record / Dropped Charges,Custodial arrest or formal charging instrument filed for felony possession of methamphetamine manufacturing materials resulting in an acquittal dismissal or dropped charges,Administrative / Non-Conviction,Pre-Disposition / Dismissed,Non-Conviction Entry,,Tier 2 Conditional Adjudication Review,No,Not Applicable,0 Days,$0,Level 1 Unrestricted,IL-NONCONV,,No,No,No,Not Applicable,No,,Not Applicable,No,No,No,Yes,Immediate upon official dismissal/acquittal,Yes,Not Applicable,Not Impacted,Unaffected,Not Applicable,Subject to board inquiry but cannot establish an automatic statutory professional bar,Fully protected under Illinois Human Rights Act background check limits,Low Adverse Impact,Subject to immediate expungement or sealing under 20 ILCS 2630/5.2; employer utilization heavily restricted by state law,No statutory restriction based on dropped charges,Certified disposition documents required for verification parameters,Unaffected,Protected from automatic exclusion under Cook County and state fair housing guidelines,,Private sector employment use heavily restricted by Illinois Human Rights Act amendments,20 ILCS 2630/5.2,Complete and Live Verified,2026 Active Statutes,2026-07-03,Senior Regulatory Data Validator,Isolated non-conviction pathway tracking for drug compliance structures,7-year reportable limit (Non-Conviction)
513,Obstruction & Justice Process,Obstruction of Justice,Public Order Offenses,Bringing Contraband into a Penal Institution - Electronic Comm. Devices,720 ILCS 5/31A-1.1(b)[Electronics],Statutory State Code,"720 ILCS 5/31A-1.1, 720ILCS5/31A-1.1-Elec, 720ILCS531A11bElec",Criminal Conviction,"Knowingly bringing or causing to be brought any cell phone, laptop, smart device, or unauthorized wireless component into a secure penal institution or jail facility",Felony Criminal Penalties,Post-Disposition Conviction,Class 1 Felony (enhanced based on structural security overrides encryption threats and witness intimidation bypass risks),Level 2 High Seriousness Felony,Tier 1 High Risk Exclusion,No,Severe Public Safety and Critical Infrastructure Disqualification Track,15 Years,$25000 (plus structural judicial forfeiture of the involved hardware items),Level 4 Absolute Restriction,IL-MSR-F1-PENAL-ELECTRONICS,2 Years Mandatory Supervised Release,No,Yes,Yes,Ineligible,Yes,None (Note: Prison sentences execute consecutively to the sentence being served at the time of the offense under Article 31A),Truth-in-sentencing restricted scales,Yes,Mandatory tracking option post-release,No,No (Felony secure facility wireless electronics smuggling and institutional security violations are permanently and statutorily barred from record sealing under 20 ILCS 2630/5.2),Ineligible,No,Yes,Ineligible due to felony conviction status,Automatic upon release from confinement,Not Applicable,"Permanent automatic professional board exclusion from legal services, corporate security clearings, public works administration, or emergency response licensing",Exempt from initial Ban-the-Box protections,Maximum Severe Structural Impact,"High institutional safety hazard, secure network subversion, and systemic security bypass profiling flag; unsealable felony entry; absolute permanent block from all municipal procurement, public facilities management, and corporate tech networks",Felony conviction bar under 430 ILCS 65/,Secure perimeter communication violations carry high removal risk factors under federal grids,Restored post-release,Strict lookback rejections from multi-family leasing models,,"Total permanent statutory employment bar across all education grids, data infrastructure centers, secure storage hubs, and wireless communications arrays",720 ILCS 5/31A-1.1,Complete and Live Verified,2026 Active Statutes,2026-07-03,Senior Regulatory Data Validator,Maps explicit digital/wireless smuggling tracks separate from baseline property contraband entries,Lifetime reportable (Conviction)
514,Obstruction & Justice Process,Obstruction of Justice,Public Order Offenses,Bringing Contraband into a Penal Institution - Electronic Comm. Devices - Arrest Record,720 ILCS 5/31A-1.1(b)[Electronics]-A,Statutory State Code,"720 ILCS 5/31A-1.1(b)-A, 720ILCS5/31A-1.1-ElecArrest, 720ILCS531A11bElecA",Arrest Record / Dropped Charges,Custodial arrest institutional search interception or formal charging instrument filed for felony cellular device or wireless hardware smuggling into a secure jail or penal facility resulting in an acquittal dismissal or dropped charges,Administrative / Non-Conviction,Pre-Disposition / Dismissed,Non-Conviction Entry,,Tier 2 Conditional Adjudication Review,No,Not Applicable,0 Days,$0,Level 1 Unrestricted,IL-NONCONV,,No,No,No,Not Applicable,No,,Not Applicable,No,No,No,Yes,Immediate upon official dismissal/acquittal,Yes,Not Applicable,Not Impacted,Unaffected,Not Applicable,Subject to intensive board inquiry and background technical security review but cannot establish an automatic professional bar,Fully protected under Illinois Human Rights Act background check limits,Low Adverse Impact,Subject to immediate expungement or sealing under 20 ILCS 2630/5.2; employer utilization heavily restricted by state law,No statutory restriction based on dropped charges,Certified disposition documents required for verification parameters,Unaffected,Protected from automatic exclusion under Cook County and state fair housing guidelines,,Private sector employment use heavily restricted by Illinois Human Rights Act amendments,20 ILCS 2630/5.2,Complete and Live Verified,2026 Active Statutes,2026-07-03,Senior Regulatory Data Validator,Isolated non-conviction pathway tracking for institutional security compliance data,7-year reportable limit (Non-Conviction)
515,Drug Offenses,Drug Trafficking / Distribution,Drug Offenses,Controlled Substance Delivery (Schedule V Base Exempt Formulations),720 ILCS 570/401(h),Statutory State Code,"720 ILCS 570/401(h), 720ILCS570/401-h, 720ILCS570401h",Criminal Conviction,"Knowingly manufacturing, delivering, or possessing with intent to manufacture or deliver specific low-concentration Schedule V therapeutic compound solutions (such as limited codeine cough preparations) outside regulated pharmacy dispensation channels",Felony Criminal Penalties,Post-Disposition Conviction,Class 3 Felony,Level 5 Moderate Felony,Tier 1 High Risk Exclusion,No (Regulatory retail distribution crossover tracking metric),Substance Compliance Review Track,5 Years,$15000 (plus mandatory dynamic drug asset fees),Level 3 Restricted,IL-MSR-F3-DELIVERY-SCH5,1 Year Mandatory Supervised Release,No,Yes,Yes,Available via Judicial Discretion,Yes,,Standard statutory scale,Yes,Discretionary Placement,Yes,Yes (Controlled substance delivery felony convictions under Class 3 lower-schedule tiers are eligible for record sealing under 20 ILCS 2630/5.2 if all probation conditions are fully finalized and discharged),3 years post-completion of sentence,No,Yes,Ineligible while felony remains unsealed,Automatic upon release from confinement,Not Applicable,"Discretionary or automatic professional board exclusion from pharmacy tech, clinical nursing, social work, or transport logistics permits",Protected under initial Ban-the-Box timelines,Severe Structural Impact,"Substance felony delivery entry creating exclusions across healthcare administration, pharmaceutical custody, corporate warehouses, and transportation distribution infrastructure until sealed",Permanent firearm restrictions under standard felony classification rules,Absolute ground of deportability/inadmissibility under federal immigration law for any controlled substance distribution offense,Restored post-release,Standard rental screening filters applied,,"Total temporary operational barrier across hospitals, clinics, high-value asset networks, and logistical fleets",720 ILCS 570/401,Complete and Live Verified,2026 Active Statutes,2026-07-03,Senior Regulatory Data Validator,Maps explicit low-tier schedule V delivery sub-sections separate from Class X/1 high-velocity weights,Lifetime reportable (Conviction)
516,Drug Offenses,Drug Trafficking / Distribution,Drug Offenses,Controlled Substance Delivery (Schedule V Base Exempt Formulations) - Arrest Record,720 ILCS 570/401(h)-A,Statutory State Code,"720 ILCS 570/401(h)-A, 720ILCS570/401h-Arrest, 720ILCS570401hA",Arrest Record / Dropped Charges,Custodial arrest or formal charging instrument filed for felony-tier Schedule V controlled substance delivery resulting in an acquittal dismissal or dropped charges,Administrative / Non-Conviction,Pre-Disposition / Dismissed,Non-Conviction Entry,,Tier 2 Conditional Adjudication Review,No,Not Applicable,0 Days,$0,Level 1 Unrestricted,IL-NONCONV,,No,No,No,Not Applicable,No,,Not Applicable,No,No,No,Yes,Immediate upon official dismissal/acquittal,Yes,Not Applicable,Not Impacted,Unaffected,Not Applicable,Subject to board inquiry but cannot establish an automatic professional bar,Fully protected under Illinois Human Rights Act background check limits,Low Adverse Impact,Subject to immediate expungement or sealing under 20 ILCS 2630/5.2; employer utilization heavily restricted by state law,No statutory restriction based on dropped charges,Certified disposition documents strictly required to verify lack of conviction or admission elements,Unaffected,Protected from automatic exclusion under Cook County and state fair housing guidelines,,Private sector employment use heavily restricted by Illinois Human Rights Act amendments,20 ILCS 2630/5.2,Complete and Live Verified,2026 Active Statutes,2026-07-03,Senior Regulatory Data Validator,Isolated non-conviction pathway tracking for drug compliance structures,7-year reportable limit (Non-Conviction)
517,Drug Offenses,Possession of Controlled Substance,Drug Offenses,Controlled Substance Possession (Baseline Schedule I or II Personal Use Weights),720 ILCS 570/402(c),Statutory State Code,"720 ILCS 570/402(c), 720ILCS570/402-c, 720ILCS570402c",Criminal Conviction,Knowingly possessing small personal use quantities (under the high-volume thresholds) of any substance classified as a Schedule I or II narcotic,Felony Criminal Penalties,Post-Disposition Conviction,Class 4 Felony,Level 6 Lower-Intermediate Felony,Tier 1 High Risk Exclusion,No,Substance Compliance and Public Safety Review Track,3 Years,$25000 (plus mandatory structural drug testing and treatment assessments),Level 3 Restricted,IL-MSR-F4-POSS-BASE,1 Year Mandatory Supervised Release,No,Yes,Yes (Eligible for specialized Section 410 First Offender Probation under 720 ILCS 570/410 layouts),Available via Judicial Discretion,Yes,,Standard statutory scale,Yes,Discretionary Placement,Yes,Yes (Controlled substance personal possession felony convictions under Class 4 are eligible for sealing under standard 20 ILCS 2630/5.2 protocols once all sentence and probation requirements are fully discharged),3 years post-completion of sentence,No (Unless finalized under a successful Section 410 probation track that avoids a formal conviction entering records),Yes,Ineligible while felony remains unsealed,Automatic upon release from confinement,Not Applicable,"High risk automatic or discretionary professional board exclusion or monitor review from pharmacy, clinical care, social work, nursing, or public safety transportation fields",Protected under initial Ban-the-Box timelines,Severe Structural Impact,Substance felony entry creating automatic screening filters and exclusions across healthcare assistance pharmacy operations and safety-sensitive warehouse roles until sealed,Permanent firearm restrictions under standard felony classification rules,Absolute ground of deportability/inadmissibility under federal immigration law for any controlled substance offense,Restored post-release,Standard rental screening tenant filters applied,,"Total temporary operational barrier across schools, clinics, secure logistics yards, and state utility teams",720 ILCS 570/402,Complete and Live Verified,2026 Active Statutes,2026-07-03,Senior Regulatory Data Validator,Normalizes baseline personal use felony paths distinct from commercial intent tiers,Lifetime reportable (Conviction)
518,Drug Offenses,Possession of Controlled Substance,Drug Offenses,Controlled Substance Possession (Baseline Schedule I or II Personal Use Weights) - Arrest Record,720 ILCS 570/402(c)-A,Statutory State Code,"720 ILCS 570/402(c)-A, 720ILCS570/402c-Arrest, 720ILCS570402cA",Arrest Record / Dropped Charges,Custodial arrest search seizure or formal charging instrument filed for baseline felony personal use controlled substance possession resulting in an acquittal dismissal or dropped charges,Administrative / Non-Conviction,Pre-Disposition / Dismissed,Non-Conviction Entry,,Tier 2 Conditional Adjudication Review,No,Not Applicable,0 Days,$0,Level 1 Unrestricted,IL-NONCONV,,No,No,No,Not Applicable,No,,Not Applicable,No,No,No,Yes,Immediate upon official dismissal/acquittal,Yes,Not Applicable,Not Impacted,Unaffected,Not Applicable,Subject to board inquiry but cannot establish an automatic statutory professional bar,Fully protected under Illinois Human Rights Act background check limits,Low Adverse Impact,Subject to immediate expungement or sealing under 20 ILCS 2630/5.2; employer utilization heavily restricted by state law,No statutory restriction based on dropped charges,Certified disposition documents required for verification parameters,Unaffected,Protected from automatic exclusion under Cook County and state fair housing guidelines,,Private sector employment use heavily restricted by Illinois Human Rights Act amendments,20 ILCS 2630/5.2,Complete and Live Verified,2026 Active Statutes,2026-07-03,Senior Regulatory Data Validator,Isolated non-conviction pathway tracking for drug compliance structures,7-year reportable limit (Non-Conviction)
519,Obstruction & Justice Process,Obstruction of Justice,Public Order Offenses,Failure of News Media Participant to Disclose Source After Court Divestiture,735 ILCS 5/8-909,Statutory State Code,"735 ILCS 5/8-909, 735ILCS5/8-909, Reporter Shield Violation",Criminal Conviction,A news media reporter knowingly and willfully refusing to comply with a formal court order divesting them of the reporter's privilege and mandating source disclosure,Misdemeanor Criminal Penalties,Post-Disposition Conviction,Class A Misdemeanor Equivalent,Level 8 Misdemeanor Scale,Tier 2 Conditional Adjudication Review,No (Process compliance omission metric),Justice System and Authority Compliance Track,364 Days,$2500,Level 3 Restricted,IL-MISD-SHIELDVIOLATION,,Yes,No,Yes,Available via Judicial Discretion,No,,Standard misdemeanor rules,Yes,No,Yes,Yes (Misdemeanor statutory source non-compliance entries are sealable under standard 20 ILCS 2630/5.2 parameters once sentence terms conclude),3 years post-completion of sentence,No (Convictions can only be sealed),Yes,Subject to administrative evaluation parameters by the Illinois State Police,Automatic upon release,Covered under standard juvenile codes,Lookback file review risk for court auxiliary legal research tracking public communications or paralegal registrations,Protected under initial Ban-the-Box timelines,Moderate Structural Impact,Systemic non-cooperation and judicial mandate breach profiling flag; establishes corporate data custody and legal compliance tracking issues inside media operations and data coordination hubs until sealed,Potential administrative review wait times under 430 ILCS 65/,Minor risk factor unless paired with systemic obstruction patterns under federal grids,Unaffected,Standard landlord background check lookbacks apply,,"Creates screening flags for data filing networks, legal documentation oversight, and corporate trust teams",735 ILCS 5/8-901 et seq.,Complete and Live Verified,2026 Active Statutes,2026-07-03,Senior Regulatory Data Validator,Maps explicit code boundaries within the Code of Civil Procedure reporter shield frameworks separate from standard contempt,Lifetime reportable (Conviction)
